**** 第1轮 ****
rryyWwss(白) + rryyWwss(白) = rryywwss(紫) 25.0%
RryyWWSS(白) + rrYYwwss(白) = rrYyWwSs(白) 50.0%
rryyWwSs(白) + RRyyWwSS(粉) = RryywwSS(紫) 12.5%
rrYYWwss(黄) + RrYYWwss(橙) = RrYYwwss(红) 12.5%
rrYYWwss(黄) + RryyWwSS(白) = rrYyWwSs(白) 25.0%
rrYYWwss(黄) + RryyWwSS(白) = rrYywwSs(紫) 12.5%
RRyyWwSS(粉) + RRYyWWSS(黄) = RRYyWwSS(白) 25.0%
RRyyWwSS(粉) + rryywwSs(紫) = RryywwSS(紫) 25.0%
RRyyWwSS(粉) + RryyWwSS(白) = RryywwSS(紫) 12.5%
RRYyWWSS(黄) + RrYYWwss(橙) = RRYyWwSs(红) 12.5%
RrYYWwss(橙) + RrYYWwss(橙) = RrYYwwss(红) 12.5%
RrYYWwss(橙) + RryyWwSS(白) = rrYyWwSs(白) 12.5%
RrYYWwss(橙) + rrYYwwss(白) = RrYYwwss(红) 25.0%
RryyWwSS(白) + RryyWwSS(白) = RryywwSS(紫) 12.5%
RryyWwSS(白) + rrYYwwss(白) = rrYyWwSs(白) 25.0%
RryyWwSS(白) + rrYYwwss(白) = rrYywwSs(紫) 25.0%
rrYYwwss(白) + RrYYWwSs(黄) = rrYYwwSs(白) 12.5%
rrYYwwss(白) + RrYYWwSs(黄) = RrYYwwss(红) 12.5%
rrYYwwss(白) + RrYYWwSs(黄) = RrYYwwSs(粉) 12.5%
**** 第5轮 ****
RRyyWWSs(红) + rrYYwwSs(白) = RrYyWwSS(白) 25.0%
rryywwss(紫) + RRYywwss(黑) = RrYywwss(红) 50.0%
rryywwss(紫) + RryywwSS(紫) = RryywwSs(粉) 50.0%
rryywwss(紫) + RrYYwwss(红) = RrYywwss(红) 50.0%
rryywwss(紫) + RrYYwwSs(粉) = RrYywwss(红) 25.0%
rryywwss(紫) + RrYYwwSs(粉) = RrYywwSs(粉) 25.0%
RRyyWWss(黑) + RRYywwss(黑) = RRYyWwss(红) 50.0%
RRyyWWSS(粉) + rrYYwwSs(白) = RrYyWwSS(白) 50.0%
rrYywwss(紫) + RrYYwwss(红) = RrYywwss(红) 25.0%
rrYywwss(紫) + RrYYwwSs(粉) = RrYywwss(红) 12.5%
RRyyWwss(黑) + RRYywwss(黑) = RRYyWwss(红) 25.0%
RRyyWwSs(红) + rrYYwwSs(白) = RrYyWwSS(白) 12.5%
RRyyWwSs(红) + rrYYwwSs(白) = RrYywwSS(紫) 12.5%
RRYyWWSs(橙) + RRYywwss(黑) = RRYYWwSs(橙) 12.5%
RRYyWWSs(橙) + rrYYwwSs(白) = RrYyWwSS(白) 12.5%
RRyyWwSS(粉) + rrYywwSs(紫) = RrYywwSS(紫) 12.5%
RRyyWwSS(粉) + RRYyWwSS(白) = RRYywwSS(紫) 12.5%
RRyyWwSS(粉) + rrYYwwSs(白) = RrYyWwSS(白) 25.0%
RRyyWwSS(粉) + rrYYwwSs(白) = RrYywwSS(紫) 25.0%
RRyyWwSS(粉) + RrYYwwSs(粉) = RrYywwSS(紫) 12.5%
RRYyWWSS(黄) + RRYywwss(黑) = RRYYWwSs(橙) 25.0%
RRYyWWSS(黄) + RrYYwwss(红) = RRYYWwSs(橙) 25.0%
RRYyWWSS(黄) + rrYYwwSs(白) = RrYyWwSS(白) 25.0%
RRYyWWSS(黄) + RrYYwwSs(粉) = RRYYWwSs(橙) 12.5%
rryywwSs(紫) + RRYywwss(黑) = RrYywwss(红) 25.0%
rryywwSs(紫) + RRYyWwSS(白) = RrYywwSS(紫) 12.5%
rryywwSs(紫) + RryywwSS(紫) = RryywwSs(粉) 25.0%
rryywwSs(紫) + RrYYwwss(红) = RrYywwss(红) 25.0%
rryywwSs(紫) + RrYYwwss(红) = RrYywwSs(粉) 25.0%
rryywwSs(紫) + RrYYwwSs(粉) = RrYywwss(红) 12.5%
rryywwSs(紫) + RrYYwwSs(粉) = RrYywwSs(粉) 25.0%
rrYYwwss(白) + RRYywwss(黑) = RrYywwss(红) 50.0%
rrYYwwss(白) + RryywwSS(紫) = RrYywwSs(粉) 50.0%
rrYywwSs(紫) + RRYyWwSS(白) = RrYywwSS(紫) 12.5%
rrYywwSs(紫) + RrYYwwss(红) = RrYywwss(红) 12.5%
RRYywwss(黑) + RRYyWwSS(白) = RRYYWwSs(橙) 12.5%
RRYywwss(黑) + RryywwSS(紫) = RRYywwSs(红) 25.0%
RRYywwss(黑) + RrYYwwss(红) = RrYywwss(红) 25.0%
RRYywwss(黑) + rrYYwwSs(白) = RrYywwss(红) 25.0%
RRYyWwSS(白) + RRYyWwSS(白) = RRYywwSS(紫) 12.5%
RRYyWwSS(白) + RrYYwwss(红) = RRYYWwSs(橙) 12.5%
RRYyWwSS(白) + rrYYwwSs(白) = RrYywwSS(紫) 12.5%
RryywwSS(紫) + RryywwSS(紫) = RRyywwSS(粉) 25.0%
RryywwSS(紫) + RrYYwwss(红) = RrYywwSs(粉) 50.0%
RryywwSS(紫) + RrYYwwss(红) = RRYywwSs(红) 25.0%
RryywwSS(紫) + rrYYwwSs(白) = RrYywwSs(粉) 25.0%
RryywwSS(紫) + RrYYwwSs(粉) = RrYywwSs(粉) 25.0%
RryywwSS(紫) + RrYYwwSs(粉) = RRYywwSs(红) 12.5%
RrYYwwss(红) + RrYYwwSs(粉) = RRYYwwSs(红) 12.5%
RrYYwwSs(粉) + RrYYwwSs(粉) = RRYYwwSs(红) 12.5%
**** 第6轮 ****
rryywwss(紫) + RryywwSs(粉) = Rryywwss(红) 25.0%
RRyyWWss(黑) + RRYyWwss(红) = RRYyWWss(橙) 25.0%
RRyyWwss(黑) + RRYyWwss(红) = RRYyWWss(橙) 12.5%
RRYyWWSs(橙) + RRYywwSS(紫) = RRYYWwSS(黄) 12.5%
RRYyWWSs(橙) + RRYYwwSs(红) = RRYYWwSS(黄) 12.5%
RRYyWWSS(黄) + RRYywwSS(紫) = RRYYWwSS(黄) 25.0%
RRYyWWSS(黄) + RRYywwSs(红) = RRYYWwSS(黄) 12.5%
RRYyWWSS(黄) + RRYYwwSs(红) = RRYYWwSS(黄) 25.0%
rryywwSs(紫) + RryywwSs(粉) = Rryywwss(红) 12.5%
rrYywwSs(紫) + RRYywwSS(紫) = RrYYwwSS(白) 12.5%
rrYywwSs(紫) + RRYYwwSs(红) = RrYYwwSS(白) 12.5%
RRYywwss(黑) + RRYyWwss(红) = RRYYWwss(橙) 12.5%
RRYyWwSS(白) + RRYywwSS(紫) = RRYYWwSS(黄) 12.5%
RRYyWwSS(白) + RRYYwwSs(红) = RRYYWwSS(黄) 12.5%
RryywwSS(紫) + RryywwSs(粉) = RRyywwSs(红) 12.5%
rrYYwwSs(白) + RRYYWwSs(橙) = RrYYwwSS(白) 12.5%
rrYYwwSs(白) + RRYywwSS(紫) = RrYYwwSS(白) 25.0%
rrYYwwSs(白) + RRYywwSs(红) = RrYYwwSS(白) 12.5%
rrYYwwSs(白) + RRYYwwSs(红) = RrYYwwSS(白) 25.0%
RrYYwwSs(粉) + RRYywwSS(紫) = RrYYwwSS(白) 12.5%
RrYYwwSs(粉) + RRYYwwSs(红) = RrYYwwSS(白) 12.5%
RryywwSs(粉) + RryywwSs(粉) = Rryywwss(红) 12.5%
RryywwSs(粉) + RryywwSs(粉) = RRyywwSs(红) 12.5%
RryywwSs(粉) + RRyywwSS(粉) = RRyywwSs(红) 25.0%
RrYywwSS(紫) + RRYywwSS(紫) = RrYYwwSS(白) 12.5%
RrYywwSS(紫) + RRYYwwSs(红) = RrYYwwSS(白) 12.5%
RRYYWwSs(橙) + RRYYWwSs(橙) = RRYYWwSS(黄) 12.5%
RRYYWwSs(橙) + RRYywwSS(紫) = RRYYWwSS(黄) 12.5%
RRYYWwSs(橙) + RRYYwwSs(红) = RRYYWwSS(黄) 12.5%
RRYYWwSs(橙) + RRYYwwSs(红) = RRYYwwSS(白) 12.5%
RRYywwSS(紫) + RRYywwSS(紫) = RRYYwwSS(白) 25.0%
RRYywwSS(紫) + RRYywwSs(红) = RRYYwwSS(白) 12.5%
RRYywwSS(紫) + RRYYwwSs(红) = RRYYwwSS(白) 25.0%
RRYywwSs(红) + RRYYwwSs(红) = RRYYwwSS(白) 12.5%
RRYYwwSs(红) + RRYYwwSs(红) = RRYYwwSS(白) 25.0%
**** 第7轮 ****
RryywwSs(粉) + Rryywwss(红) = RRyywwss(黑) 12.5%
RryywwSs(粉) + RRyywwSs(红) = RRyywwss(黑) 12.5%
Rryywwss(红) + Rryywwss(红) = RRyywwss(黑) 25.0%
Rryywwss(红) + RRyywwSs(红) = RRyywwss(黑) 25.0%
RRyywwSs(红) + RRyywwSs(红) = RRyywwss(黑) 25.0%
**** 结果 ****
RRYywwss(黑) + RRYywwss(黑) = RRYYwwss(蓝) 25.0%
RRYywwss(黑) + RrYYwwss(红) = RRYYwwss(蓝) 25.0%
RRYywwss(黑) + RRYYwwSs(红) = RRYYwwss(蓝) 25.0%
RRYywwss(黑) + RRYYWwss(橙) = RRYYwwss(蓝) 25.0%
RrYYwwss(红) + RrYYwwss(红) = RRYYwwss(蓝) 25.0%
RrYYwwss(红) + RRYYwwSs(红) = RRYYwwss(蓝) 25.0%
RrYYwwss(红) + RRYYWwss(橙) = RRYYwwss(蓝) 25.0%
RRYYwwSs(红) + RRYYwwSs(红) = RRYYwwss(蓝) 25.0%
RRYYwwSs(红) + RRYYWwss(橙) = RRYYwwss(蓝) 25.0%
RRYYWwss(橙) + RRYYWwss(橙) = RRYYwwss(蓝) 25.0%
